asin,reviewerID,reviewTime,reviewerName,reviews.title,reviews.text,reviews.rating
B00LS3N4WY,A2P96M3IG0WMZZ,"07 14, 2014",Dayna C in OKC,Not for me....,"I wanted to love this book, I really did, but I just couldn't. I felt absolutely no closure to Maddox and Ellie's story. I love the Redwood Series and look forward to each and every book. However, this one just didn't do it for me. This is how I felt at the end of the book, &#34;humph&#34;. And I'm sorry to say this, but the story was just unmoving. Very disappointing. Makes me want my $1.99 back.",1
B008XDNMH4,A1J5J80ZS0NO5Q,"10 6, 2012",Bea,REALLY NOT a Good Book,"Wow,what a disappointment!  This was just about my least favorite read in a long time.  The plot was shallow, the characters trite and the sarcasm over the top.  In fact, it wasn't sarcasm: it was pages & pages of bad slapstick, insults and snide comments.When I read ""Death by Sarcasm"", it was a delight.  The dialogue was witty, the story well developed and the players descriptive.  The sarcasm left you laughing at the ""bite"" and added to the richness of the book.  With this book, the sarcastic dialogue attacked you immediately in the first pages and you're taken back by the brashness of it.  It just wasn't funny!  Mary is obnoxious, Alice is crude and the overall story is just meaningless.  The book was wrapped-up nice and neat in the end after Mary one-handedly tracked the killers, figured out the situation, rescued the missing woman and was reunited with her lover.  Yeah, right.This is a stupid book to me and I'm sorry I bought it.  It was a fast read because there was nothing substantial in the text.  I've enjoyed many books by this author, which is why I bought this one without downloading the sample.  Lesson learned:  always read the sample before you buy!",1
B00JRBNGQS,A19RFYOF76Z5BS,"05 8, 2014",Susan M McMillan,more porn than zombie,"The basic story line of a person fleeing across country to safety in the event of a zombie uprising is a good one. Pity that wasn't the real intention of this story. It turned into something glorifying rape, sexual abuse of minors and a sickening episode of a person using a sex toy to calm a baby.  Seriously twisted and sick.",1
B004U34BZS,AS1VKS4JTX89I,"06 16, 2013",,Could only read half of it,"This could have been a good book because the author was creating an interesting world and I wanted to understand it but I had to give up because I have seldom encountered a main character I have disliked more.  She has nothing to redeem her.  Selfcentered and shallow  sums her up.  She would have been a great villain, but she is the heroine.",1
B00IB24LOA,A15XQYHT2V1275,"07 14, 2014",Donna Fernandez,Not what I thought,I am very disappointed in this story. It was not at all what I expected and a little bit much for my taste,1
B00B13A35C,A259N7N7W1TFIL,"03 13, 2013","Bronze Beauty &#34;Rae&#34; ""luv books""",Not enough Detail,"This book had the potential to be better than what it was. It went off the subject to lead you to believe one thing, but it didn't elaborate and left you hanging. (Not in a good way)",1
B00CHP64IS,A1YQX2NPW7ML4Y,"05 7, 2014",Read2live_luv2read,Calling this a book is deceiving...,"If you're only offering up an excerpt, your aim should be explicit in the title (and not just in your sex scenes). So now I'm not only disappointed at being deceived, I'm also not interested in the rest of the work. Too bad, especially when it had potential.",1
B003VIWRH2,A3A7FF87LEVCQ1,"08 17, 2011",morehumanthanhuman,Angels or fairy tale characters or . . . something?,"This is a snippet of a story about angels or fairy tale characters (I couldn't really tell what they were or what actual powers they had, other than one of them was an ""empath"") who perform unspecified tasks to fight evil.  The lack of context was a real problem in getting into this story.  I understand that it was meant to be a bridge between books one and two in a series, but maybe a more detailed preface explaining who these people are or what sort of powers they have would help those of us who haven't read the first book.Instead, all we got was a preface explaining that Ren wasn't going to have a happy ending in this story - a rather unnecessary spoiler, I thought.Anyway, Ren is very jealous of his ex-girlfriend or ex-something's happiness (the nature of their relationship wasn't clear - I couldn't tell if they'd been having sex for the last hundred years or if they'd had sex once in a hundred years of unrequited love) so he goes to her house and has a threesome with her and her new boyfriend.  And that is pretty much it.All other action (they fight demons or something?) takes place out of sight.  Weak characters, unnecessary amounts of angst, too much pointless moodiness, and unclear setting make this one that I wouldn't recommend.",1
B004E3XTGG,A2D0SWP988W8M4,"08 1, 2013",NIYA MITCHELL,One star for now !,I didn't finish reading the book so I can't fully give it any rates. It started off okay have to finish it when I get a chance .,1
B004KPLBZY,AFIQKSK0HOO1R,"11 30, 2012",bernzie,yeah didnt really like it,Not really my thing a friend brought it on my kindle gave it a read but wasn't really my thing. Story didnt really flow but in saying that I hear that its part of a series,1
